Symbol,Sector,SM20,SM50,Avg. Volume,EPS TR,Technology: 73%,Price Change
WDH,Financial | Insurance - Diversified | China | NYSE,-9.45%,-13.01%,616.80K,,Health: 28%,-6.40%
YJ,Consumer Cyclical | Internet Retail | China | NASD,-17.60%,-34.18%,102.89K,,Consumer Cyclical: 32%,50.87%
,,,,,,Consumer Defensive: 24%,-0.09%
,,,,,,Basic Materials: 17%,-0.09%
,,,,,,Industrials: 41%,-0.09%
,,,,,,Real Estate: 27%,-0.09%
,,,,,,Communication Services: 50%,-0.09%
,,,,,,Financial: 32%,-0.09%
,,,,,,Energy: 9%,-0.09%
,,,,,,Utilities: 3%,-0.09%
